,v,d,result
0,1.1058896736165162,1.3059219378226778,Laminar
1,1.9085433948173391,1.4084525116319249,Transition
2,1.9817879073709208,1.3822667547975391,Transition
3,1.7345594651803928,1.6043105420413268,Transition
4,0.6503814960189906,1.7431459008232117,Laminar
5,3.316046787894797,1.7101896859668688,Turbulent
6,0.9238357680948666,1.9373547431391205,Transition
7,2.8119496891357296,1.6440482730243096,Turbulent
8,1.5976874384440194,1.7602548455799285,Transition
9,3.281716831298412,1.976924074333926,Turbulent
10,0.8250097300559764,1.7378045201460246,Laminar
11,1.818335950976469,1.2937469146492933,Transition
12,0.9951635381237641,1.4530013771986867,Laminar
13,2.717536748034265,1.117385493405172,Transition
14,0.78363967776961,1.8874444478758612,Laminar
15,3.2633578973612987,1.8806014340010777,Turbulent
16,2.850871191678073,1.9250759411224097,Turbulent
17,2.3528891878644083,1.1145482490047816,Transition
18,0.4111093538943592,1.4652053427449498,Laminar
19,2.032455588052905,1.8396411977529623,Turbulent
20,1.9681197312773673,1.9573046773996559,Turbulent
21,0.5601789638008624,1.3063942385646372,Laminar
22,1.7443768905448631,1.8628642880792898,Transition
23,1.4677659536370213,1.5203308164800333,Transition
24,1.2160557243729297,1.645085337636802,Transition
25,2.272137176243252,1.9876698455173218,Turbulent
26,1.793367920522535,1.1003915269372246,Transition
27,0.4305181156024511,1.0468539358720776,Laminar
28,1.425774216838426,1.2538366253950168,Transition
29,0.754973700832625,1.7180526544884096,Laminar
30,0.6046299217949589,1.2149100329957232,Laminar
31,2.2023816781510575,1.3666389616965895,Transition
32,2.7063401322159706,1.9187351003018218,Turbulent
33,0.6910924867345865,1.5321037897630538,Laminar
34,1.408646524856572,1.6662826707852259,Transition
35,1.7367770146561332,1.7710420331204468,Transition
36,2.0968862063936045,1.9247731354098714,Turbulent
37,2.326628145807111,1.9762120575189077,Turbulent
38,0.5892121687014666,1.3356036472635355,Laminar
39,3.110251907352693,1.8868766217725224,Turbulent
40,2.6835271828532132,1.4220904469514275,Turbulent
41,2.245086189344816,1.749865338520209,Turbulent
42,2.739381346561382,1.9014192873505036,Turbulent
43,1.0008750018294925,1.8811314385722657,Transition
44,2.400783191148094,1.4520079822273457,Transition
45,2.0248695182871845,1.9269092496940345,Turbulent
46,2.9064757868036093,1.04637946326603,Transition
47,0.9560881553483815,1.2898575317541199,Laminar
48,2.1707554888554617,1.5761080093228732,Transition
49,0.9943497424536639,1.887943422764904,Transition
50,1.9666448324134618,1.1825467623740469,Transition
51,3.168280341907867,1.33149009593881,Turbulent
52,1.2021619253691804,1.177559281298394,Laminar
53,1.0766068465309768,1.1808663892680862,Laminar
54,3.3895088281140158,1.1224566259912954,Turbulent
55,2.706849023540907,1.3769482583331423,Turbulent
56,2.238142125986132,1.1891732362954488,Transition
57,3.020272086131675,1.450309080637656,Turbulent
58,1.958634599417885,1.5752658348258561,Transition
59,2.6551178499326458,1.3833647444796981,Turbulent
60,0.7161914026824623,1.054059026176306,Laminar
61,1.4776825333826205,1.665893026361193,Transition
62,2.502725005667476,1.2869175665830568,Transition
63,0.8945294909504562,1.4378037535263792,Laminar
64,0.547684981539375,1.978888484712856,Laminar
65,1.2224409077403608,1.0682027387225022,Laminar
66,1.021003899061188,1.3565051104423178,Laminar
67,2.074661096727224,1.8713396789476477,Turbulent
68,0.937960584421092,1.764850323356879,Laminar
69,1.4347168082503914,1.1223071664013164,Laminar
70,1.3639423730357754,1.5761297129486473,Transition
71,2.9060494039228506,1.8143956362444404,Turbulent
72,3.1345990315479635,1.6233333444061668,Turbulent
73,2.430142736674086,1.2781769636580298,Transition
74,3.1997385901811373,1.6358324704050131,Turbulent
75,2.4373710744867183,1.5440116958309085,Turbulent
76,3.012062113119839,1.1127480163996262,Transition
77,1.0453120962183853,1.7828833704998295,Transition
78,2.4021627675271753,1.9798130262159566,Turbulent
79,1.193921470891051,1.8444911266751103,Transition
80,2.3015512792143134,1.231544014593118,Transition
81,2.2862838725048142,1.3632569688737628,Transition
82,2.3359098053940555,1.960388364734912,Turbulent
83,0.6814050299906733,1.3597929297261326,Laminar
84,2.259824565947504,1.9391120495526333,Turbulent
85,1.0874344297953251,1.0594524935387892,Laminar
86,1.8846281615033615,1.1307110165885388,Transition
87,1.5200419684492132,1.5515080554307021,Transition
88,1.2164075401798735,1.8303893640170497,Transition
89,3.2213560258415495,1.8678901666655632,Turbulent
90,0.8141124211941706,1.0369484471718593,Laminar
91,0.4725181014331761,1.0825278750613925,Laminar
92,2.7780874013514487,1.7031918985744356,Turbulent
93,0.5477041968062359,1.2630936906509271,Laminar
94,3.2540043591683308,1.7463445792782282,Turbulent
95,0.6220908461779399,1.397451716913317,Laminar
96,1.2777924217120844,1.6465024562028692,Transition
97,2.339955307754869,1.1965563655383296,Transition
98,2.8075022451183353,1.3866765481652377,Turbulent
99,3.3141302869892537,1.8724090879319046,Turbulent
100,2.118354952765914,1.397807349518358,Transition
101,3.272775786869914,1.9023711049529344,Turbulent
102,1.363688294906272,1.1715189176072167,Laminar
103,1.132635453549792,1.0958518932893062,Laminar
104,0.5580141563726877,1.63708541591699,Laminar
105,2.8333486275537787,1.1155982396026032,Transition
106,0.7460003125476363,1.4435297211657974,Laminar
107,1.0626470771758831,1.7749092997711833,Transition
108,0.7003593819340969,1.4099683645415726,Laminar
109,3.346191532412735,1.5189405000407357,Turbulent
110,1.4820342721867434,1.7867249840191648,Transition
111,1.7751869262413056,1.3132539513911659,Transition
112,1.255491089850448,1.951141791986693,Transition
113,0.5991713224735898,1.4778463386368776,Laminar
114,3.160685960316036,1.9056568529451665,Turbulent
115,0.5832638757125291,1.8044209816472305,Laminar
116,1.5854048533240328,1.5141378700459214,Transition
117,3.07245744178341,1.2212766722835133,Turbulent
118,1.2056460989219093,1.6725067961265232,Transition
119,1.5724804459331332,1.9353588788007379,Transition
120,3.256290127636448,1.2856413434452878,Turbulent
121,1.5821204263551794,1.9105899936932904,Transition
122,1.7820842010753628,1.2895146109906792,Transition
123,2.8405954914459937,1.8190472616134057,Turbulent
124,0.8851447341847923,1.8277489884223317,Laminar
125,3.3808739628002398,1.588962178041652,Turbulent
126,1.4064971746921202,1.3200577392495205,Transition
127,1.8727775890256328,1.9610606684837544,Turbulent
128,0.5213141270516018,1.0289402028435553,Laminar
129,1.2537794657493722,1.439752989378598,Transition
130,0.46684511787646354,1.7403316596270748,Laminar
131,2.09031681114981,1.326038283027497,Transition
132,3.319802731273573,1.845966267119078,Turbulent
133,2.129134173289737,1.7194190051334244,Turbulent
134,1.8283760820375403,1.2920806503969948,Transition
135,2.0213565984942026,1.5465720268937886,Transition
136,0.49462001101120967,1.3789170091045229,Laminar
137,3.3662371863006806,1.9693716570887518,Turbulent
138,3.373791134081559,1.403019036288316,Turbulent
139,3.0347897859967694,1.1193413369723624,Transition
140,1.9769715300349562,1.626924953471423,Transition
141,2.099014321920678,1.336879896988529,Transition
142,0.514529097723552,1.466744754905119,Laminar
143,2.2122508843743804,1.9362191584883752,Turbulent
144,1.381047375383645,1.4248618453518898,Transition
145,1.9956094009227612,1.800198113593539,Turbulent
146,2.0973228359818425,1.6156675708302757,Transition
147,1.9281837441773595,1.5877179596396123,Transition
148,1.5338338542619692,1.293343086310066,Transition
149,2.3857502251267575,1.4477133600865342,Transition
150,1.7083086086509383,1.8260450251278408,Transition
151,1.9069838295148824,1.8944490783390502,Turbulent
152,1.8755182866669458,1.6150525543738814,Transition
153,2.7625430289054673,1.2039586606152186,Transition
154,1.5463039532342147,1.112252306686298,Laminar
155,2.180479882724497,1.096749956913325,Transition
156,2.2863348957238308,1.3871624289989977,Transition
157,1.6505455447035198,1.3069253835224917,Transition
158,2.776791589981772,1.0480566335164025,Transition
159,2.3633755572003867,1.2232256007891054,Transition
160,1.2948946861837278,1.8183015714968365,Transition
161,2.5885839030015316,1.4363115985360693,Turbulent
162,1.6859860088907141,1.3857459785749202,Transition
163,1.8804302114481568,1.0137987623383178,Transition
164,2.48871947618697,1.9634846135011745,Turbulent
165,1.3674928389634247,1.3333329867689174,Transition
166,0.8985951646565904,1.9318713930723557,Laminar
167,0.7639197062859763,1.9771382366783659,Laminar
168,2.1115355308736894,1.2725560043676827,Transition
169,3.3917784760764165,1.477038918661892,Turbulent
170,0.8504930989505701,1.3188823738565576,Laminar
171,3.090454917133943,1.25638567592737,Turbulent
172,2.7426021145485526,1.0006612229576506,Transition
173,2.4744569079429395,1.2576640477442762,Transition
174,1.5532610115555983,1.460784962856256,Transition
175,1.438886694685222,1.6870392770182112,Transition
176,1.1897005849309956,1.0285582161231037,Laminar
177,2.8030061703394953,1.8284347418552684,Turbulent
178,2.3644036465432334,1.7016179850251052,Turbulent
179,1.2272548633603484,1.22939442865058,Laminar
180,0.857089524575326,1.220921309673339,Laminar
181,1.5742483681831536,1.5048629879310433,Transition
182,1.1760972553131435,1.217790194210668,Laminar
183,3.0367610494372346,1.56374882336884,Turbulent
184,2.5945692406167713,1.7884200060539939,Turbulent
185,2.922866426779398,1.1944324205895889,Transition
186,2.1605576922485676,1.0939864578371545,Transition
187,1.828382274913058,1.0385616045674224,Transition
188,1.440769392512388,1.2888102408148474,Transition
189,3.384598748786274,1.1162618985818198,Turbulent
190,2.7802286845200475,1.449138309983796,Turbulent
191,1.7237925009718778,1.3182087109108171,Transition
192,3.0952042459040827,1.609447518346566,Turbulent
193,1.8238842092020282,1.3542137019749811,Transition
194,1.4235275217920145,1.0596900929554067,Laminar
195,1.5537074637167363,1.330764187544493,Transition
196,0.5362230097515095,1.1626623568963417,Laminar
197,1.1704025337158903,1.858590117779533,Transition
198,1.9323703472513167,1.774644548402716,Transition
199,3.072750095072045,1.8839065427280755,Turbulent
200,0.7343897701068806,1.619362952773646,Laminar
201,1.120652736225661,1.2230894492158222,Laminar
202,1.5932184705484027,1.407608040396958,Transition
203,1.7996508848458035,1.5559168185937113,Transition
204,1.0752951160015183,1.0950770094642581,Laminar
205,1.9679329920038255,1.259244992913581,Transition
206,1.5528628253016579,1.8844336734358458,Transition
207,1.5415573715287318,1.0244038167673588,Laminar
208,2.9252051349455037,1.270077905054253,Turbulent
209,0.4544645191952754,1.1870225686910172,Laminar
210,1.799409487296888,1.861984529878542,Transition
211,2.8997899529372115,1.1905084583356798,Transition
212,1.8832314986549865,1.1654957803838832,Transition
213,2.4862622787618833,1.5624670233180806,Turbulent
214,2.85331668643248,1.7379650047868196,Turbulent
215,0.739378107125492,1.0969412962026883,Laminar
216,2.7514091256762803,1.895756954136598,Turbulent
217,1.5856225437805604,1.8560613654283467,Transition
218,1.6548699296113307,1.8369184170348245,Transition
219,3.3768909269830973,1.6023787361749937,Turbulent
220,3.2899164926135556,1.3034251160949495,Turbulent
221,0.6964691801964861,1.2868116935675062,Laminar
222,2.52101865914961,1.316651968637865,Transition
223,0.5761724034637171,1.910577966161347,Laminar
224,1.530666872226615,1.4066603291593758,Transition
225,0.9698806416015793,1.3976149229404995,Laminar
226,1.6440698862181602,1.538593005703038,Transition
227,0.8265964545342414,1.2446699606855274,Laminar
228,3.0618099980221216,1.8654274978673653,Turbulent
229,0.709457142642974,1.4469814085005912,Laminar
230,1.465573727825594,1.0951635948855918,Laminar
231,2.969047425230596,1.8279848403010563,Turbulent
232,0.6192336912606106,1.7401411534197666,Laminar
233,3.3664845392979705,1.2565438461697567,Turbulent
234,2.1596967432750622,1.7643984316580674,Turbulent
235,1.8748705372837753,1.958666866721507,Turbulent
236,1.9610002886326332,1.7493268102413286,Transition
237,2.6852490477819484,1.2426633341164406,Transition
238,3.3318243148312106,1.5513696046660979,Turbulent
239,3.2838363580078935,1.5743149611221505,Turbulent
240,1.028798829013052,1.5737406561879979,Laminar
241,3.2453861119421163,1.4148569721793116,Turbulent
242,2.1314392616134397,1.466828246837372,Transition
243,1.202804302610145,1.2064054819490195,Laminar
244,1.6589277823248474,1.5714838107152802,Transition
245,3.3201557960047183,1.3040087427979175,Turbulent
246,3.2777349214824234,1.6262406343378808,Turbulent
247,2.5648004586886355,1.0473733500885434,Transition
248,0.6333910361684882,1.916903963494976,Laminar
249,2.5696509872433633,1.6043304030324674,Turbulent
250,0.8130679462470676,1.68238467050142,Laminar
251,1.7489414530514216,1.4033681008835566,Transition
252,2.0368208087853845,1.155710046071918,Transition
253,0.46929500509462474,1.700152993953338,Laminar
254,0.6251538144389589,1.2103457998050824,Laminar
255,1.2966541287705127,1.5051880999869032,Transition
256,2.6863102942452204,1.1756631525294148,Transition
257,3.1067337987697683,1.2970425388145241,Turbulent
258,1.686080781653133,1.1421964622780334,Transition
259,0.9420018225558655,1.4257269698209307,Laminar
260,0.9977205932087617,1.5133529227800961,Laminar
261,2.6439607469726534,1.7863661379561133,Turbulent
262,1.276140970252818,1.2885066207809786,Laminar
263,1.3952443834466672,1.5212559913596215,Transition
264,1.057721445272314,1.3341737120224995,Laminar
265,3.1825210767479284,1.4370550660411099,Turbulent
266,2.4421265316570184,1.7740505332872845,Turbulent
267,2.1563653217712777,1.0322160644536293,Transition
268,2.828488382120374,1.9459678298065364,Turbulent
269,2.322446179609841,1.8278430443580558,Turbulent
270,2.042911145453108,1.5982817875805577,Transition
271,0.7204510602920259,1.1049350131031033,Laminar
272,2.8865952961784633,1.3664235548673536,Turbulent
273,1.0501439542986228,1.3132288782213708,Laminar
274,2.1914620691818305,1.5454281666522904,Transition
275,2.3627424456478687,1.541683868447727,Turbulent
276,2.272888239471944,1.284200376964202,Transition
277,1.0800840559370928,1.0114100479440764,Laminar
